benchmark,avg_dynamic_power,avg_static_power,FF,LUT,worst_negative_slack,num_cycles,num_instructions_retired,datamem_wait_cycles,fetch_wait_cycles,num_load_instructions,num_store_instructions,num_jump_instructions,num_conditional_branch_instructions,num_taken_conditional_branch_instructions,num_compressed_instructions,mult_wait_cycles,divd_wait_cycles,temperature,ht_type,ht_triggered,ht_type_with_trigger
multiply,0.05,0.263,1476,2325,9.66,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10527,mitm,False,mitm_non-triggered
multiply,0.05,0.263,1476,2325,8.799,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10527,fetch,False,fetch_non-triggered
multiply,0.05,0.263,1476,2314,6.775,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10526,critical,False,critical_non-triggered
multiply,0.03,0.259,1477,2299,9.018,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10473,clk_mod,False,clk_mod_non-triggered
median,0.05,0.263,1476,2304,8.007,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,ht-free,False,ht-free
median,0.05,0.263,1476,2327,8.007,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,mitm,False,mitm_non-triggered
median,0.05,0.263,1476,2327,6.75,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,fetch,False,fetch_non-triggered
median,0.05,0.263,1479,2301,6.31,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10529,critical,False,critical_non-triggered
median,0.03,0.259,1477,2304,7.897,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10485,clk_mod,False,clk_mod_non-triggered
tower,0.04,0.262,1476,2304,8.007,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10500,ht-free,False,ht-free
tower,0.04,0.262,1476,2327,8.007,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10500,mitm,False,mitm_non-triggered
tower,0.04,0.262,1476,2327,6.75,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10500,fetch,False,fetch_non-triggered
tower,0.04,0.262,1479,2301,6.31,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10507,critical,False,critical_non-triggered
tower,0.03,0.258,1477,2304,7.897,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10485,clk_mod,False,clk_mod_non-triggered
sort,0.04,0.262,1476,2304,8.007,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10585,ht-free,False,ht-free
sort,0.04,0.262,1476,2327,8.007,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10585,mitm,False,mitm_non-triggered
sort,0.04,0.262,1476,2327,6.75,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10585,fetch,False,fetch_non-triggered
sort,0.04,0.262,1479,2301,6.31,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10570,critical,False,critical_non-triggered
sort,0.03,0.258,1477,2304,7.897,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10523,clk_mod,False,clk_mod_non-triggered
coremark,0.05,0.264,1476,2304,8.007,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10524,ht-free,False,ht-free
coremark,0.05,0.264,1476,2327,8.007,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10524,mitm,False,mitm_non-triggered
coremark,0.05,0.264,1476,2327,6.75,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10524,fetch,False,fetch_non-triggered
coremark,0.05,0.264,1479,2301,6.31,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10520,critical,False,critical_non-triggered
coremark,0.03,0.259,1477,2304,7.897,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10428,clk_mod,False,clk_mod_non-triggered
multiply,0.05,0.263,1476,2304,8.007,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10527,ht-free,False,ht-free
multiply,0.05,0.263,1476,2327,8.007,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10527,mitm,False,mitm_non-triggered
multiply,0.05,0.263,1476,2327,6.75,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10527,fetch,False,fetch_non-triggered
multiply,0.05,0.263,1479,2301,6.31,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10526,critical,False,critical_non-triggered
multiply,0.03,0.259,1477,2304,7.897,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10473,clk_mod,False,clk_mod_non-triggered
median,0.05,0.263,1477,2652,8.666,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,ht-free,False,ht-free
median,0.05,0.263,1477,2665,8.67,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,mitm,False,mitm_non-triggered
median,0.05,0.263,1477,2665,9.537,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,fetch,False,fetch_non-triggered
median,0.05,0.263,1477,2666,7.469,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10529,critical,False,critical_non-triggered
median,0.03,0.259,1478,2652,8.954,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10485,clk_mod,False,clk_mod_non-triggered
tower,0.05,0.263,1477,2652,8.666,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10500,ht-free,False,ht-free
tower,0.05,0.263,1477,2665,8.67,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10500,mitm,False,mitm_non-triggered
tower,0.05,0.263,1477,2665,9.537,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10500,fetch,False,fetch_non-triggered
